"Roberto Garza","CHI",77.00,"C",2012.00,1
"Patrick Mannelly","CHI",66.00,"C",2012.00,2
"Ricky Henry","CHI",59.00,"C",2012.00,3
"Charles Tillman","CHI",89.00,"CB",2012.00,1
"Tim Jennings","CHI",81.00,"CB",2012.00,2
"Kelvin Hayden","CHI",76.00,"CB",2012.00,3
"D.J. Moore","CHI",72.00,"CB",2012.00,4
"Jonathan Wilhite","CHI",71.00,"CB",2012.00,5
"Isaiah Frey","CHI",60.00,"CB",2012.00,6
"Cornelius Brown","CHI",58.00,"CB",2012.00,7
"Greg McCoy","CHI",57.00,"CB",2012.00,8
"Henry Melton","CHI",80.00,"DT",2012.00,1
"Matt Toeaina","CHI",74.00,"DT",2012.00,2
"Stephen Paea","CHI",73.00,"DT",2012.00,3
"John McCargo","CHI",68.00,"DT",2012.00,4
"DeMario Pressley","CHI",65.00,"DT",2012.00,5
"Jordan Miller","CHI",63.00,"DT",2012.00,6
"Nate Collins","CHI",62.00,"DT",2012.00,7
"Tyler Clutts","CHI",66.00,"FB",2012.00,1
"Evan Rodriguez","CHI",61.00,"FB",2012.00,2
"Chris Conte","CHI",72.00,"FS",2012.00,1
"Anthony Walters","CHI",62.00,"FS",2012.00,2
"Matt Forte","CHI",93.00,"HB",2012.00,1
"Michael Bush","CHI",83.00,"HB",2012.00,2
"Kahlil Bell","CHI",69.00,"HB",2012.00,3
"Armando Allen","CHI",64.00,"HB",2012.00,4
"Harvey Unga","CHI",58.00,"HB",2012.00,5
"Alvester Alexander","CHI",57.00,"HB",2012.00,6
"Robbie Gould","CHI",95.00,"K",2012.00,1
"Israel Idonije","CHI",80.00,"LE",2012.00,1
"Shea McClellin","CHI",76.00,"LE",2012.00,2
"Chauncey Davis","CHI",73.00,"LE",2012.00,3
"Cheta Ozougwu","CHI",64.00,"LE",2012.00,4
"Chris Spencer","CHI",77.00,"LG",2012.00,1
"Edwin Williams","CHI",73.00,"LG",2012.00,2
"Nick Roach","CHI",75.00,"LOLB",2012.00,1
"Geno Hayes","CHI",74.00,"LOLB",2012.00,2
"Jabara Williams","CHI",61.00,"LOLB",2012.00,3
"Chris Williams","CHI",72.00,"LT",2012.00,1
"J'Marcus Webb","CHI",69.00,"LT",2012.00,2
"James Brown","CHI",60.00,"LT",2012.00,3
"Brian Urlacher","CHI",95.00,"MLB",2012.00,1
"Blake Costanzo","CHI",66.00,"MLB",2012.00,2
"Dom DeCicco","CHI",57.00,"MLB",2012.00,3
"Adrien Cole","CHI",50.00,"MLB",2012.00,4
"Adam Podlesh","CHI",78.00,"P",2012.00,1
"Jay Cutler","CHI",87.00,"QB",2012.00,1
"Jason Campbell","CHI",79.00,"QB",2012.00,2
"Josh McCown","CHI",70.00,"QB",2012.00,3
"Julius Peppers","CHI",97.00,"RE",2012.00,1
"Thaddeus Gibson","CHI",72.00,"RE",2012.00,2
"Corey Wootton","CHI",72.00,"RE",2012.00,3
"Lance Louis","CHI",71.00,"RG",2012.00,1
"Chilo Rachal","CHI",69.00,"RG",2012.00,2
"Lance Briggs","CHI",92.00,"ROLB",2012.00,1
"Patrick Trahan","CHI",61.00,"ROLB",2012.00,2
"J.T. Thomas","CHI",60.00,"ROLB",2012.00,3
"Gabe Carimi","CHI",79.00,"RT",2012.00,1
"A.J. Greene","CHI",61.00,"RT",2012.00,2
"Major Wright","CHI",77.00,"SS",2012.00,1
"Craig Steltz","CHI",72.00,"SS",2012.00,2
"Brandon Hardin","CHI",70.00,"SS",2012.00,3
"Kellen Davis","CHI",78.00,"TE",2012.00,1
"Matt Spaeth","CHI",71.00,"TE",2012.00,2
"Draylen Ross","CHI",63.00,"TE",2012.00,3
"Kyle Adams","CHI",61.00,"TE",2012.00,4
"Brandon Marshall","CHI",91.00,"WR",2012.00,1
